datetime,isSpeaking,volume
2017-04-13 20:40:02,B,0.960575
2017-04-13 20:40:03,B,1
2017-04-13 20:40:03,B,0.971212
2017-04-13 20:40:03,B,1
2017-04-13 20:40:03,B,0.958219
2017-04-13 20:40:03,B,0.959109
2017-04-13 20:40:03,B,0.96895
2017-04-13 20:40:03,B,0.996791
2017-04-13 20:40:04,B,0.989989
2017-04-13 20:40:04,B,0.983471
2017-04-13 20:40:04,B,0.985849
2017-04-13 20:40:04,B,0.910262
2017-04-13 20:40:04,B,0.840083
2017-04-13 20:40:04,B,0.904978
2017-04-13 20:40:04,B,0.875738
2017-04-13 20:40:04,B,0.88239
2017-04-13 20:40:04,B,0.96749
2017-04-13 20:40:04,B,0.816377
2017-04-13 20:40:04,B,0.950719
2017-04-13 20:40:04,B,0.985556
2017-04-13 20:40:05,B,0.885314
2017-04-13 20:40:05,B,0.850938
2017-04-13 20:40:05,B,0.927936
2017-04-13 20:40:05,B,0.819033
2017-04-13 20:40:05,B,0.816072
2017-04-13 20:40:05,B,0.703042
2017-04-13 20:40:05,B,0.868601
2017-04-13 20:40:05,B,0.806129
2017-04-13 20:40:05,B,0.735059
2017-04-13 20:40:05,B,0.700588
2017-04-13 20:40:06,B,0.852777
2017-04-13 20:40:06,B,0.889745
2017-04-13 20:40:06,B,0.845873
2017-04-13 20:40:06,B,0.802443
2017-04-13 20:40:06,B,0.596238
2017-04-13 20:40:06,B,0.812928
2017-04-13 20:40:06,B,0.691692
2017-04-13 20:40:06,B,1
2017-04-13 20:40:06,B,0.900039
2017-04-13 20:40:06,B,0.73888
2017-04-13 20:40:06,B,0.865512
2017-04-13 20:40:07,B,0.886846
2017-04-13 20:40:07,B,0.777461
2017-04-13 20:40:07,B,0.689455
2017-04-13 20:40:10,B,0.878103
2017-04-13 20:40:10,B,0.93441
2017-04-13 20:40:10,B,0.909047
2017-04-13 20:40:11,B,0.914277
2017-04-13 20:40:11,B,0.873724
2017-04-13 20:40:11,B,0.737544
2017-04-13 20:40:11,B,0.879036
2017-04-13 20:40:11,B,0.980439
2017-04-13 20:40:11,B,0.996887
2017-04-13 20:40:11,B,0.993313
2017-04-13 20:40:11,B,0.887214
2017-04-13 20:40:11,B,0.967724
2017-04-13 20:40:11,B,0.928244
2017-04-13 20:40:11,B,0.972245
2017-04-13 20:40:11,B,0.999626
2017-04-13 20:40:12,B,0.895402
2017-04-13 20:40:12,B,0.755182
2017-04-13 20:40:12,B,0.724651
2017-04-13 20:40:12,B,0.551401
2017-04-13 20:40:12,B,0.560911
2017-04-13 20:40:12,B,0.450225
2017-04-13 20:40:12,B,0.717007
2017-04-13 20:40:12,B,0.8042
2017-04-13 20:40:12,B,0.906451
2017-04-13 20:40:12,B,0.941204
2017-04-13 20:40:12,B,0.881265
2017-04-13 20:40:12,B,0.90714
2017-04-13 20:40:12,B,0.76899
2017-04-13 20:40:13,B,0.718793
2017-04-13 20:40:13,B,0.537906
2017-04-13 20:40:13,B,0.905127
2017-04-13 20:40:13,B,0.816307
2017-04-13 20:40:13,B,0.872064
2017-04-13 20:40:13,B,0.734128
2017-04-13 20:40:13,B,0.796652
2017-04-13 20:40:13,B,0.599115
2017-04-13 20:40:13,B,0.432099
2017-04-13 20:40:13,B,0.383162
2017-04-13 20:40:13,B,0.349817
2017-04-13 20:40:13,B,0.34335
2017-04-13 20:40:13,B,0.339884
2017-04-13 20:40:14,B,0.30939
2017-04-13 20:40:14,B,0.370948
2017-04-13 20:40:14,B,0.622192
2017-04-13 20:40:14,B,0.780741
2017-04-13 20:40:15,B,1
2017-04-13 20:40:15,B,1
2017-04-13 20:40:15,B,1
2017-04-13 20:40:15,B,0.986543
2017-04-13 20:40:15,B,0.982754
2017-04-13 20:40:15,B,0.987698
2017-04-13 20:40:15,B,0.907914
2017-04-13 20:40:15,B,0.954085
2017-04-13 20:40:15,B,0.947679
2017-04-13 20:40:15,B,0.953894
2017-04-13 20:40:16,B,0.96229
2017-04-13 20:40:16,B,0.91907
2017-04-13 20:40:16,B,0.792695
2017-04-13 20:40:16,A,0.949461
2017-04-13 20:40:17,A,0.960884
2017-04-13 20:40:17,A,0.793696
2017-04-13 20:40:17,A,0.679034
2017-04-13 20:40:17,A,0.583369
2017-04-13 20:40:17,A,0.948576
2017-04-13 20:40:17,A,0.867477
